                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5767,                 5.1826,                 2.0673,                      0,                      0,                      0,                      0,                 2.5861,                  6.021,                 2.2677,                      0,                      0,                      0
                      2,                  2.684,                 5.2323,                  2.137,                      0,                      0,                      0,                      0,                 2.5835,                 5.9877,                  2.266,             2.6213e-06,             2.6213e-06,             2.6213e-06
                      3,                 2.6084,                 5.2741,                 2.0189,                      0,                      0,                      0,                      0,                 2.5674,                  5.941,                 2.2566,             5.2253e-06,             5.2253e-06,             5.2253e-06
                      4,                 2.4879,                 5.1705,                 2.0134,                 0.0021,                0.00735,                0.00183,                0.00018,                 2.5387,                 5.8909,                 2.2403,             7.8119e-06,             7.8119e-06,             7.8119e-06
                      5,                 2.4565,                 5.1048,                 2.0041,                0.00245,                0.00735,                0.00183,                0.00018,                 2.4913,                 5.8341,                 2.2093,             1.0381e-05,             1.0381e-05,             1.0381e-05
                      6,                  2.535,                 5.1212,                 1.9796,                0.00294,                0.00735,                0.00202,                 0.0002,                 2.4464,                 5.7831,                 2.1764,             1.2933e-05,             1.2933e-05,             1.2933e-05
                      7,                  2.426,                 5.0834,                 1.9198,                0.00294,                0.00735,                0.00192,                0.00019,                 2.4095,                  5.733,                 2.1433,             1.5468e-05,             1.5468e-05,             1.5468e-05
                      8,                 2.3188,                 4.9549,                 1.8521,                0.00294,                0.00735,                0.00192,                0.00019,                 2.3918,                  5.654,                 2.1018,             1.7985e-05,             1.7985e-05,             1.7985e-05
                      9,                 2.2864,                 4.8269,                 1.7378,                0.00327,                0.00735,                0.00204,                0.00041,                 2.3796,                 5.5521,                 2.0763,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     10,                  2.105,                 4.7199,                 1.7017,                0.00368,                0.00735,                 0.0023,                0.00046,                 2.3338,                 5.4427,                  2.048,             2.2967e-05,             2.2967e-05,             2.2967e-05
                     11,                 1.8825,                 4.6792,                 1.5361,                0.01029,                0.01471,                0.01232,                 0.0027,                 2.3133,                 5.2997,                 2.0063,             2.5432e-05,             2.5432e-05,             2.5432e-05
                     12,                 1.9246,                 4.5457,                 1.5208,                 0.0098,                0.01471,                0.01196,                0.00278,                 2.2928,                 5.1307,                 1.9744,              2.788e-05,              2.788e-05,              2.788e-05
                     13,                 1.8147,                 4.3426,                 1.5066,                0.00458,                0.01471,                0.00975,                0.00307,                 2.2923,                 4.9191,                   1.93,              3.031e-05,              3.031e-05,              3.031e-05
                     14,                 1.7756,                 4.3361,                 1.4307,                0.63393,                0.00735,                0.00958,                0.00319,                 2.2452,                  4.715,                 1.8647,             3.2723e-05,             3.2723e-05,             3.2723e-05
                     15,                 1.6467,                  4.106,                  1.359,                0.44963,                0.01471,                0.01747,                0.00667,                 2.1519,                 4.5223,                 1.7812,             3.5119e-05,             3.5119e-05,             3.5119e-05
                     16,                  1.628,                 4.0623,                 1.3512,                0.65903,                0.01471,                0.00889,                0.00399,                 2.0544,                  4.333,                 1.6949,             3.7497e-05,             3.7497e-05,             3.7497e-05
                     17,                 1.6283,                 3.9907,                 1.3061,                0.00748,                0.07794,                0.01256,                 0.0054,                 1.9786,                  4.205,                 1.6149,             3.9858e-05,             3.9858e-05,             3.9858e-05
                     18,                   1.58,                 3.7884,                  1.311,                0.21968,                0.08284,                0.01584,                 0.0074,                 1.9441,                 4.1368,                 1.5712,             4.2202e-05,             4.2202e-05,             4.2202e-05
                     19,                 1.5251,                 3.5646,                 1.2861,                0.22679,                0.10588,                0.02023,                0.01035,                 1.9377,                 4.1677,                  1.556,             4.4528e-05,             4.4528e-05,             4.4528e-05
                     20,                 1.5734,                 3.4685,                 1.2931,                0.18111,                0.11823,                0.03541,                0.01968,                 1.9122,                 4.2892,                 1.5398,             4.6837e-05,             4.6837e-05,             4.6837e-05
                     21,                 1.4856,                 3.3347,                 1.2328,                0.18955,                0.11499,                0.04783,                0.02667,                 1.9374,                 4.3675,                 1.5502,             4.9128e-05,             4.9128e-05,             4.9128e-05
                     22,                 1.4542,                 3.2879,                  1.185,                0.29276,                 0.0989,                0.06889,                0.03411,                 1.9392,                 4.3949,                 1.5655,             5.1403e-05,             5.1403e-05,             5.1403e-05
