                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4642,                 5.5038,                  1.909,                0.00086,                0.01471,                0.00055,                0.00044,                 2.3561,                 5.8954,                 1.9898,                      0,                      0,                      0
                      2,                 2.6062,                 5.4521,                 2.0342,                0.00086,                0.01471,                0.00054,                 0.0004,                 2.3569,                 5.8859,                 1.9869,             2.6213e-06,             2.6213e-06,             2.6213e-06
                      3,                 2.5319,                 5.5118,                 1.8803,                0.00088,                0.01471,                0.00055,                0.00041,                 2.3474,                 5.8748,                 1.9832,             5.2253e-06,             5.2253e-06,             5.2253e-06
                      4,                 2.3513,                 5.4708,                 1.8874,                0.00067,                0.00735,                0.00043,                0.00034,                 2.3306,                  5.855,                  1.974,             7.8119e-06,             7.8119e-06,             7.8119e-06
                      5,                 2.4487,                 5.3755,                 1.9261,                0.00067,                0.00735,                0.00043,                0.00034,                   2.31,                 5.8207,                  1.969,             1.0381e-05,             1.0381e-05,             1.0381e-05
                      6,                 2.4478,                 5.3814,                 1.9011,                0.00127,                0.02206,                0.00081,                0.00052,                 2.2634,                 5.7732,                 1.9462,             1.2933e-05,             1.2933e-05,             1.2933e-05
                      7,                 2.3758,                 5.2814,                 1.8296,                0.00125,                0.02206,                0.00085,                0.00054,                 2.2156,                  5.726,                 1.9123,             1.5468e-05,             1.5468e-05,             1.5468e-05
                      8,                 2.3746,                 5.3374,                 1.8551,                0.00051,                0.01471,                0.00044,                0.00019,                 2.1575,                 5.6719,                 1.8752,             1.7985e-05,             1.7985e-05,             1.7985e-05
                      9,                 2.2606,                 5.2338,                 1.7159,                0.00048,                0.01471,                0.00052,                0.00021,                 2.1246,                 5.6188,                 1.8456,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     10,                 2.2106,                 5.1483,                  1.728,                0.00044,                0.01471,                0.00058,                0.00024,                 2.0901,                 5.5767,                 1.8205,             2.2967e-05,             2.2967e-05,             2.2967e-05
                     11,                 2.1389,                  5.108,                   1.67,                0.00037,                0.01471,                0.00091,                0.00032,                 2.0665,                 5.5146,                 1.8002,             2.5432e-05,             2.5432e-05,             2.5432e-05
                     12,                 2.0532,                 5.0176,                 1.5862,                0.00031,                0.01471,                0.00107,                0.00033,                 2.0717,                 5.4377,                 1.7888,              2.788e-05,              2.788e-05,              2.788e-05
                     13,                 1.9355,                 4.8326,                    1.6,                0.20662,                0.01471,                0.00136,                0.00036,                 2.0585,                 5.3593,                  1.773,              3.031e-05,              3.031e-05,              3.031e-05
                     14,                 1.9227,                 4.9378,                 1.5342,                0.53404,                0.00735,                0.00192,                0.00045,                 2.0427,                 5.2393,                 1.7586,             3.2723e-05,             3.2723e-05,             3.2723e-05
                     15,                 1.8397,                  4.768,                 1.5049,                0.47274,                0.00735,                0.00293,                0.00066,                 2.0215,                 5.1301,                 1.7322,             3.5119e-05,             3.5119e-05,             3.5119e-05
                     16,                 1.8019,                  4.764,                 1.4278,                0.00171,                0.03676,                0.00304,                0.00086,                 1.9978,                 4.9967,                 1.6889,             3.7497e-05,             3.7497e-05,             3.7497e-05
                     17,                 1.8263,                 4.6999,                 1.4441,                0.00154,                0.03676,                0.00508,                0.00124,                 1.9575,                 4.8536,                   1.65,             3.9858e-05,             3.9858e-05,             3.9858e-05
                     18,                 1.7443,                 4.5853,                 1.4282,                0.15096,                0.03676,                0.00628,                0.00158,                 1.9458,                 4.7452,                  1.617,             4.2202e-05,             4.2202e-05,             4.2202e-05
                     19,                 1.7208,                 4.4363,                 1.4031,                0.29776,                0.03676,                0.00788,                0.00283,                 1.9138,                 4.6018,                  1.598,             4.4528e-05,             4.4528e-05,             4.4528e-05
                     20,                 1.7205,                  4.364,                 1.3837,                0.01972,                0.08529,                0.02277,                0.01257,                 1.8885,                 4.4813,                 1.5767,             4.6837e-05,             4.6837e-05,             4.6837e-05
                     21,                 1.5818,                 4.2344,                 1.2809,                0.01189,                0.09265,                0.01852,                0.01132,                 1.8827,                 4.3821,                  1.565,             4.9128e-05,             4.9128e-05,             4.9128e-05
                     22,                 1.6444,                  4.231,                 1.2769,                0.40046,                0.07941,                0.01764,                0.01145,                 1.8592,                  4.273,                 1.5279,             5.1403e-05,             5.1403e-05,             5.1403e-05
